time	leftRight	frontBack	up	angular	State	Battery_level	Magnetometer_x	Magnetometer_y	Magnetometer_z	Pressure	Temperature	Wind_speed	Wind_angle	Wind_compensation:pitch	Wind_compensation:roll	Pitch_y	Roll_x	Yaw_z	Altitude	Velocity_x	Velocity_y	Velocity_z	Acceleration_x	Acceleration_y	Acceleration_z	Motor_1_power	Motor_2_power	Motor_3_power	Motor_4_power	time_board	_merge
1970-01-01 00:00:01.745	0.0	-0.25	0.0	0.0	3	83	-69	-25	-87	98456	530	0.014940341003239157	-88.88577270507812	0.0	0.0	-6759.0	-727.0	-99678.0	733	1128.921630859375	-193.48004150390625	0.0	1992.0	2032.0	2564.0	170	172	183	195	1522981601470	both
1970-01-01 00:00:02.772	0.0	-0.25	0.0	0.0	3	83	-69	-1	-83	98478	530	0.030431909486651417	-63.90058898925781	0.0	0.0	2416.0	191.0	-99553.0	694	172.81764221191406	-0.5979787707328796	0.0	2016.0	1976.0	2592.0	183	173	194	191	1524019629455	both
1970-01-01 00:00:02.803	0.0	-0.25	0.0	0.0	3	83	-77	1	-89	98483	530	0.03118185698986053	-64.64879608154297	0.0	0.0	1518.0	131.0	-99485.0	689	149.5054931640625	1.3300325870513916	0.0	2008.0	2024.0	2596.0	183	173	193	195	1524034659881	both
1970-01-01 00:00:02.833	0.0	-0.25	0.0	0.0	3	83	-67	5	-93	98489	530	0.029909620061516762	-60.65414428710938	0.0	0.0	468.0	-9.0	-99483.0	687	114.76144409179688	5.121786594390869	0.0	2024.0	2072.0	2592.0	180	176	189	197	1524048689910	both
1970-01-01 00:00:02.899	0.0	-0.25	0.0	0.0	3	83	-74	-10	-88	98475	530	0.029896875843405724	-60.46359634399414	0.0	0.0	-2326.0	-118.0	-99407.0	679	90.65848541259766	-10.549267768859863	0.0	2056.0	2056.0	2584.0	191	174	195	185	1524080754943	both
1970-01-01 00:00:02.928	0.0	-0.25	0.0	0.0	3	83	-70	-16	-90	98475	530	0.030585825443267826	-59.33441543579102	0.0	0.0	-3680.0	-138.0	-99341.0	676	95.72652435302734	-9.880041122436523	0.0	2040.0	2108.0	2592.0	192	177	193	185	1524095785339	both
1970-01-01 00:00:02.959	0.0	-0.25	0.0	0.0	3	83	-75	-17	-91	98492	530	0.031462062150239944	-60.541015625	0.0	0.0	-4967.0	-188.0	-99310.0	675	117.81654357910156	-11.414902687072756	0.0	2012.0	2108.0	2580.0	193	176	192	185	1524110815155	both
1970-01-01 00:00:02.994	0.0	-0.25	0.0	0.0	3	83	-70	-16	-88	98478	530	0.0300635788589716	-58.92597579956055	0.0	0.0	-6279.0	-188.0	-99284.0	674	142.6815643310547	-23.54382133483887	0.0	2076.0	2076.0	2596.0	190	179	189	187	1524127850250	both
1970-01-01 00:00:03.023	0.0	-0.25	0.0	0.0	3	83	-73	-17	-91	98489	530	0.03056405298411846	-57.49657440185547	0.0	0.0	-7295.0	-174.0	-99382.0	671	152.38540649414062	-23.2395076751709	0.0	2040.0	2100.0	2596.0	185	187	183	193	1524141880310	both
1970-01-01 00:00:03.184	0.0	-0.25	0.0	0.0	3	83	-70	-22	-82	98489	530	0.033010829240083694	-57.4771842956543	0.0	0.0	-10427.0	-100.0	-99341.0	677	372.9978942871094	-25.47702980041504	0.0	2124.0	2040.0	2580.0	185	180	187	190	1524755040740	both
