	leftRight	frontBack	up	angular	State	Battery_level	Magnetometer_x	Magnetometer_y	Magnetometer_z	Pressure	Temperature	Wind_speed	Wind_angle	Wind_compensation:pitch	Wind_compensation:roll	Pitch_y	Roll_x	Yaw_z	Altitude	Velocity_x	Velocity_y	Velocity_z	Acceleration_x	Acceleration_y	Acceleration_z	Motor_1_power	Motor_2_power	Motor_3_power	Motor_4_power	time_board	_merge
1970-01-01 00:00:10.150																															both
1970-01-01 00:00:10.200																															both
1970-01-01 00:00:10.250																															both
1970-01-01 00:00:10.300																															both
1970-01-01 00:00:10.350																															both
1970-01-01 00:00:10.400																															both
1970-01-01 00:00:10.450																															both
1970-01-01 00:00:10.500																															both
1970-01-01 00:00:10.550																															both
1970-01-01 00:00:10.600																															both
1970-01-01 00:00:10.650																															both
1970-01-01 00:00:10.700																															both
1970-01-01 00:00:10.750																															both
1970-01-01 00:00:10.800																															both
1970-01-01 00:00:10.850																															both
1970-01-01 00:00:10.900																															both
1970-01-01 00:00:10.950																															both
1970-01-01 00:00:11.000																															both
1970-01-01 00:00:11.050																															both
1970-01-01 00:00:11.100																															both
1970-01-01 00:00:11.150																															both
1970-01-01 00:00:11.200																															both
1970-01-01 00:00:11.250																															both
1970-01-01 00:00:11.300																															both
1970-01-01 00:00:11.350	0.0	-0.25	0.0	0.0	3.0	82.0	-74.0	-10.0	-92.0	98454.0	529.0	0.07615207135677338	-29.91350746154785	0.0	0.0	-3522.0	-240.0	-100219.0	738.0	60.22729873657226	-4.556525230407715	0.0	2104.0	2028.0	2568.0	185.0	180.0	174.0	184.0	1533028205169.0	both
1970-01-01 00:00:11.400																															both
1970-01-01 00:00:11.450																															both
1970-01-01 00:00:11.500																															both
1970-01-01 00:00:11.550																															both
1970-01-01 00:00:11.600																															both
1970-01-01 00:00:11.650																															both
1970-01-01 00:00:11.700																															both
1970-01-01 00:00:11.750																															both
1970-01-01 00:00:11.800																															both
1970-01-01 00:00:11.850																															both
1970-01-01 00:00:11.900																															both
1970-01-01 00:00:11.950																															both
1970-01-01 00:00:12.000																															both
1970-01-01 00:00:12.050																															both
1970-01-01 00:00:12.100																															both
1970-01-01 00:00:12.150																															both
1970-01-01 00:00:12.200																															both
1970-01-01 00:00:12.250																															both
1970-01-01 00:00:12.300																															both
1970-01-01 00:00:12.350																															both
1970-01-01 00:00:12.400																															both
1970-01-01 00:00:12.450																															both
1970-01-01 00:00:12.500																															both
1970-01-01 00:00:12.550																															both
1970-01-01 00:00:12.600																															both
1970-01-01 00:00:12.650																															both
1970-01-01 00:00:12.700																															both
1970-01-01 00:00:12.750																															both
1970-01-01 00:00:12.800																															both
1970-01-01 00:00:12.850																															both
1970-01-01 00:00:12.900																															both
1970-01-01 00:00:12.950																															both
1970-01-01 00:00:13.000																															both
1970-01-01 00:00:13.050																															both
1970-01-01 00:00:13.100																															both
1970-01-01 00:00:13.150																															both
1970-01-01 00:00:13.200																															both
1970-01-01 00:00:13.250																															both
1970-01-01 00:00:13.300																															both
1970-01-01 00:00:13.350																															both
1970-01-01 00:00:13.400																															both
1970-01-01 00:00:13.450																															both
1970-01-01 00:00:13.500																															both
1970-01-01 00:00:13.550																															both
1970-01-01 00:00:13.600																															both
1970-01-01 00:00:13.650																															both
1970-01-01 00:00:13.700																															both
1970-01-01 00:00:13.750																															both
1970-01-01 00:00:13.800																															both
1970-01-01 00:00:13.850																															both
1970-01-01 00:00:13.900																															both
1970-01-01 00:00:13.950																															both
1970-01-01 00:00:14.000																															both
1970-01-01 00:00:14.050																															both
1970-01-01 00:00:14.100																															both
1970-01-01 00:00:14.150																															both
1970-01-01 00:00:14.200																															both
1970-01-01 00:00:14.250																															both
1970-01-01 00:00:14.300																															both
1970-01-01 00:00:14.350																															both
1970-01-01 00:00:14.400																															both
1970-01-01 00:00:14.450																															both
1970-01-01 00:00:14.500																															both
1970-01-01 00:00:14.550																															both
1970-01-01 00:00:14.600																															both
1970-01-01 00:00:14.650																															both
1970-01-01 00:00:14.700																															both
1970-01-01 00:00:14.750																															both
1970-01-01 00:00:14.800																															both
1970-01-01 00:00:14.850																															both
1970-01-01 00:00:14.900																															both
1970-01-01 00:00:14.950																															both
1970-01-01 00:00:15.000																															both
1970-01-01 00:00:15.050																															both
1970-01-01 00:00:15.100																															both
1970-01-01 00:00:15.150																															both
1970-01-01 00:00:15.200																															both
1970-01-01 00:00:15.250																															both
1970-01-01 00:00:15.300																															both
1970-01-01 00:00:15.350																															both
